,goodsCode,qty,bigbox,smallbox,box,sore
334,020050010010	,8699.0,80,40.0,5,1049.0
335,660110010063	,8648.0,80,40.0,10,251.0
336,660050020107	,8607.0,120,120.0,10,567.0
337,660200010057	,8594.0,150,150.0,10,415.0
338,670030010003	,8529.0,40,40.0,5,298.0
339,660330050002	,8512.0,120,120.0,5,343.0
340,660200010149	,8432.0,100,100.0,10,253.0
341,031132302004	,8398.0,40,20.0,5,362.0
342,660050020042	,8375.0,200,200.0,20,787.0
343,031160103161	,8355.0,16,16.0,5,874.0
344,660250010068	,8354.0,80,40.0,5,162.0
345,031121502047	,8322.0,100,20.0,5,3891.0
346,020060010003	,8305.0,40,20.0,5,2678.0
347,660050010044	,8297.0,60,60.0,5,806.0
348,660050020011	,8233.0,400,400.0,20,735.0
349,660050010047	,8217.0,60,60.0,5,566.0
350,660200010966	,8177.0,120,60.0,10,146.0
351,031132501065	,8147.0,40,20.0,5,1568.0
352,031121505026	,8141.0,100,20.0,5,3116.0
353,660110010087	,8123.0,80,40.0,5,64.0
354,031440201130	,8080.0,120,60.0,40,1.0
355,660010010825	,8045.0,20,20.0,5,44.0
356,020080010006	,8014.0,120,60.0,5,374.0
357,660200010881	,8012.0,120,60.0,10,427.0
358,660200010127	,8000.0,120,60.0,0,0.0
359,031132501042	,7966.0,40,20.0,5,1245.0
360,660110010084	,7953.0,80,40.0,10,112.0
361,031131209014	,7910.0,20,20.0,5,90.0
362,031150601212	,7856.0,80,80.0,10,37.0
363,660110010071	,7821.0,80,40.0,5,267.0
364,031160103206	,7720.0,12,12.0,5,1361.0
365,660010010657	,7700.0,30,30.0,5,178.0
366,660200010796	,7688.0,150,150.0,10,271.0
367,031150601262	,7620.0,120,60.0,5,259.0
368,020040030001	,7611.0,100,20.0,5,3504.0
369,660010010826	,7512.0,20,20.0,5,41.0
370,660200010153	,7385.0,80,80.0,10,266.0
371,031132501035	,7369.0,20,20.0,5,199.0
372,660050020067	,7348.0,120,120.0,10,294.0
373,660200010252	,7333.0,120,60.0,10,208.0
374,660050040018	,7316.0,160,20.0,5,395.0
375,031150601304	,7304.0,150,150.0,0,4.0
376,660010010850	,7295.0,30,30.0,5,138.0
377,660010010783	,7273.0,30,30.0,5,194.0
378,660110010080	,7237.0,80,40.0,5,171.0
379,031150615018	,7197.0,200,50.0,30,11.0
380,660200010685	,7186.0,120,60.0,5,485.0
381,020050010127	,7183.0,120,120.0,20,151.0
382,660200010108	,7168.0,80,80.0,10,338.0
383,660050020237	,7141.0,40,40.0,0,0.0
384,031121501015	,7111.0,100,20.0,5,3135.0
