,custnumber,allorder,allmount,sper,fiveorder,sixorder,sevenorder,slope,order_qu,order_log,mount_log,order_score,slope_score,mount_score,deal_score,OSMD
3114,20232072,25,1068.03,0.84,14,5,6,-4.000000000000002,25,3.258096538021482,6.974506974242121,2,2,2,2,1.9999999999999998
3115,20235147,25,1358.03,0.96,8,5,12,1.9999999999999984,25,3.258096538021482,7.214526488962681,2,2,2,3,2.0999999999999996
3116,20235221,25,1128.38,0.92,13,3,9,-2.0000000000000027,25,3.258096538021482,7.0294240885641415,2,2,2,3,2.0999999999999996
3117,20235870,25,894.81,0.72,6,12,7,0.4999999999999985,25,3.258096538021482,6.797728336916964,2,2,2,1,1.9
3118,20236907,25,773.21,0.84,8,8,9,0.4999999999999991,25,3.258096538021482,6.651843154619159,2,2,2,2,1.9999999999999998
3119,20237611,25,908.45,0.84,8,7,10,0.9999999999999989,25,3.258096538021482,6.812840021185849,2,2,2,2,1.9999999999999998
3120,20235150,25,1506.79,0.92,7,11,7,-4.98747184596348e-16,25,3.258096538021482,7.318400281576275,2,2,2,3,2.0999999999999996
3121,20236690,25,1036.09,0.92,11,8,6,-2.5000000000000018,25,3.258096538021482,6.944173993277483,2,2,2,3,2.0999999999999996
3122,20236938,25,1306.42,0.8,14,6,5,-4.500000000000002,25,3.258096538021482,7.1758110085987195,2,2,2,1,1.9
3123,20231595,25,1072.73,0.76,13,8,4,-4.500000000000001,25,3.258096538021482,6.978893846815331,2,2,2,1,1.9
3124,20233121,25,527.57,0.76,6,8,11,2.4999999999999987,25,3.258096538021482,6.2701752468706475,2,2,2,1,1.9
3125,20230932,25,869.94,0.72,12,9,4,-4.000000000000002,25,3.258096538021482,6.769573088142187,2,2,2,1,1.9
3126,20234897,25,1525.66,0.8,8,9,8,-1.210874187062958e-15,25,3.258096538021482,7.330837621618359,2,2,2,1,1.9
3127,20236044,25,852.44,0.88,16,8,1,-7.5000000000000036,25,3.258096538021482,6.74927524099365,2,1,2,2,1.7
3128,20235430,25,545.41,0.92,8,12,5,-1.5000000000000016,25,3.258096538021482,6.30336960969965,2,2,2,3,2.0999999999999996
3129,20235739,25,1114.9,0.92,11,6,8,-1.5000000000000018,25,3.258096538021482,7.017416533191656,2,2,2,3,2.0999999999999996
3130,20231016,25,805.86,0.6,11,9,5,-3.0000000000000027,25,3.258096538021482,6.693150171187982,2,2,2,1,1.9
3131,20236667,25,1203.58,0.8,13,7,5,-4.000000000000002,25,3.258096538021482,7.093886237450039,2,2,2,1,1.9
3132,20236365,25,1190.84,0.72,12,5,8,-2.0000000000000004,25,3.258096538021482,7.083253610427966,2,2,2,1,1.9
3133,20237474,25,1367.55,0.8,11,10,4,-3.5000000000000004,25,3.258096538021482,7.221507064166969,2,2,2,1,1.9
3134,20234038,25,751.38,0.88,12,9,4,-4.000000000000002,25,3.258096538021482,6.623241515468049,2,2,2,2,1.9999999999999998
3135,20234518,25,937.56,0.88,8,9,8,-1.210874187062958e-15,25,3.258096538021482,6.844346785789086,2,2,2,2,1.9999999999999998
3136,20235494,25,936.23,0.76,11,6,8,-1.5000000000000018,25,3.258096538021482,6.842928716364602,2,2,2,1,1.9
3137,20233718,25,1017.13,0.84,10,9,6,-2.0000000000000018,25,3.258096538021482,6.925722890332587,2,2,2,2,1.9999999999999998
3138,20234116,25,1014.54,0.88,9,8,8,-0.4999999999999999,25,3.258096538021482,6.923175769708013,2,2,2,2,1.9999999999999998
3139,20231603,25,1006.51,0.8,8,6,11,1.4999999999999978,25,3.258096538021482,6.915237219329892,2,2,2,1,1.9
3140,20234966,25,1270.89,0.88,13,3,9,-2.0000000000000027,25,3.258096538021482,7.14825926217321,2,2,2,2,1.9999999999999998
3141,20236378,25,1870.08,0.84,12,4,9,-1.5000000000000024,25,3.258096538021482,7.534271083243482,2,2,2,2,1.9999999999999998
3142,20237771,25,1119.69,0.84,7,14,4,-1.5000000000000024,25,3.258096538021482,7.0216998460236155,2,2,2,2,1.9999999999999998
3143,20242476,24,1139.7,0.8333333333333334,0,0,24,12.000000000000002,20,3.2188758248682006,7.039397388033852,2,3,2,2,2.3000000000000003
3144,20241403,24,554.09,0.4166666666666667,0,1,23,11.500000000000002,20,3.2188758248682006,6.3191302627617345,2,3,2,1,2.2
3145,20242463,24,783.03,0.8333333333333334,0,3,21,10.5,20,3.2188758248682006,6.6644472849244325,2,3,2,2,2.3000000000000003
3146,20242354,24,1577.1,0.7916666666666666,0,5,19,9.500000000000002,20,3.2188758248682006,7.363976870754087,2,3,2,1,2.2
3147,20240826,24,1360.2,0.9166666666666666,0,2,22,11.000000000000002,20,3.2188758248682006,7.216121942626751,2,3,2,3,2.4000000000000004
3148,20241502,24,1202.15,0.8333333333333334,0,9,15,7.500000000000001,20,3.2188758248682006,7.092698396481043,2,3,2,2,2.3000000000000003
3149,20234085,24,547.29,0.75,0,3,21,10.5,20,3.2188758248682006,6.306804344052914,2,3,2,1,2.2
3150,20231724,24,809.79,0.75,0,7,17,8.5,20,3.2188758248682006,6.698009081004007,2,3,2,1,2.2
3151,20241696,24,1120.15,0.7083333333333334,0,7,17,8.5,20,3.2188758248682006,7.022110223219539,2,3,2,1,2.2
3152,20241622,24,981.34,0.6666666666666666,0,6,18,9.0,20,3.2188758248682006,6.889937480609163,2,3,2,1,2.2
3153,20232397,24,982.87,0.875,0,6,18,9.0,20,3.2188758248682006,6.891493774503315,2,3,2,2,2.3000000000000003
3154,20240944,24,527.97,0.8333333333333334,1,15,8,3.499999999999999,20,3.2188758248682006,6.2709317194751355,2,2,2,2,1.9999999999999998
3155,20241836,24,1125.31,0.7916666666666666,2,7,15,6.500000000000001,20,3.2188758248682006,7.026702081643376,2,3,2,1,2.2
3156,20241012,24,978.86,0.7916666666666666,2,10,12,4.999999999999999,20,3.2188758248682006,6.887409704316707,2,2,2,1,1.9
3157,20241774,24,823.9,0.7916666666666666,2,9,13,5.500000000000001,20,3.2188758248682006,6.715262166866686,2,3,2,1,2.2
3158,20241078,24,554.61,0.9166666666666666,1,13,10,4.500000000000001,20,3.2188758248682006,6.3200666092783315,2,2,2,3,2.0999999999999996
3159,20237664,24,948.96,1.0,2,8,14,6.0,20,3.2188758248682006,6.856419878444977,2,3,2,3,2.4000000000000004
3160,20235594,24,1037.26,0.9166666666666666,4,9,11,3.5,20,3.2188758248682006,6.9453015140561,2,2,2,3,2.0999999999999996
3161,20240966,24,1173.47,0.7083333333333334,4,9,11,3.5,20,3.2188758248682006,7.0685722609885815,2,2,2,1,1.9
3162,20240313,24,920.1,0.9166666666666666,3,14,7,1.999999999999999,20,3.2188758248682006,6.82556860799419,2,2,2,3,2.0999999999999996
3163,20234554,24,1308.92,0.75,3,6,15,6.0,20,3.2188758248682006,7.177721345628138,2,3,2,1,2.2
3164,20231886,24,1187.57,0.75,7,12,5,-1.0000000000000022,20,3.2188758248682006,7.0805061828361415,2,2,2,1,1.9
3165,20230079,24,1441.38,0.8333333333333334,6,10,8,0.9999999999999996,20,3.2188758248682006,7.27404980601372,2,2,2,2,1.9999999999999998
3166,20232474,24,1233.0,0.9583333333333334,1,3,20,9.500000000000002,20,3.2188758248682006,7.1180162044653335,2,3,2,3,2.4000000000000004
3167,20237267,24,807.79,0.4583333333333333,2,10,12,4.999999999999999,20,3.2188758248682006,6.695539303633783,2,2,2,1,1.9
3168,20234216,24,1063.51,0.9583333333333334,5,6,13,3.999999999999999,20,3.2188758248682006,6.9702698783711385,2,2,2,3,2.0999999999999996
3169,20231466,24,1041.18,0.9166666666666666,5,13,6,0.49999999999999917,20,3.2188758248682006,6.94906995211635,2,2,2,3,2.0999999999999996
3170,20234538,24,650.97,0.8333333333333334,9,9,6,-1.5000000000000004,20,3.2188758248682006,6.479998548598117,2,2,2,2,1.9999999999999998
3171,20237260,24,1181.7,0.7083333333333334,15,9,0,-7.500000000000005,20,3.2188758248682006,7.0755552392570715,2,1,2,1,1.6
3172,20237063,24,1375.1,0.9166666666666666,12,5,7,-2.5000000000000018,20,3.2188758248682006,7.227008690271236,2,2,2,3,2.0999999999999996
3173,20232465,24,640.94,0.9583333333333334,10,8,6,-2.000000000000002,20,3.2188758248682006,6.4644948413785706,2,2,2,3,2.0999999999999996
3174,20234456,24,813.27,0.75,7,8,9,0.9999999999999982,20,3.2188758248682006,6.702292006335501,2,2,2,1,1.9
3175,20234924,24,1466.84,0.7916666666666666,5,8,11,3.0,20,3.2188758248682006,7.291547211408807,2,2,2,1,1.9
3176,20230552,24,1507.55,0.8333333333333334,6,7,11,2.499999999999999,20,3.2188758248682006,7.318904203558599,2,2,2,2,1.9999999999999998
3177,20234532,24,1088.84,0.625,14,8,2,-6.000000000000001,20,3.2188758248682006,6.993786175457806,2,1,2,1,1.6
3178,20236712,24,991.56,0.8333333333333334,8,6,10,0.9999999999999982,20,3.2188758248682006,6.900287464134616,2,2,2,2,1.9999999999999998
3179,20232410,24,1077.76,0.9166666666666666,6,6,12,3.0,20,3.2188758248682006,6.983567512343084,2,2,2,3,2.0999999999999996
3180,20236741,24,483.03,0.6666666666666666,2,6,16,7.0,20,3.2188758248682006,6.18214688826681,2,3,2,1,2.2
3181,20236950,24,817.03,0.9583333333333334,10,8,6,-2.000000000000002,20,3.2188758248682006,6.706899010746868,2,2,2,3,2.0999999999999996
3182,20235028,24,1015.58,0.7083333333333334,8,5,11,1.499999999999999,20,3.2188758248682006,6.92419933139807,2,2,2,1,1.9
3183,20235234,24,1022.47,0.75,7,10,7,-1.309356603886154e-15,20,3.2188758248682006,6.93095409348466,2,2,2,1,1.9
3184,20236676,24,1173.5,1.0,9,7,8,-0.5000000000000012,20,3.2188758248682006,7.068597804098967,2,2,2,3,2.0999999999999996
3185,20232217,24,857.64,0.9583333333333334,14,10,0,-7.000000000000001,20,3.2188758248682006,6.755349742173269,2,1,2,3,1.8
3186,20235695,24,1056.39,0.8333333333333334,11,10,3,-4.000000000000002,20,3.2188758248682006,6.9635588865975615,2,2,2,2,1.9999999999999998
3187,20234051,24,1163.94,0.7916666666666666,9,10,5,-2.0000000000000004,20,3.2188758248682006,7.060424862527597,2,2,2,1,1.9
3188,20237667,24,1304.24,0.625,7,7,10,1.4999999999999984,20,3.2188758248682006,7.174142210893759,2,2,2,1,1.9
3189,20234671,24,597.39,0.875,6,11,7,0.49999999999999917,20,3.2188758248682006,6.394242715290686,2,2,2,2,1.9999999999999998
3190,20236594,24,972.37,0.8333333333333334,11,7,6,-2.5,20,3.2188758248682006,6.880764277117551,2,2,2,2,1.9999999999999998
3191,20231400,24,949.02,0.9166666666666666,4,4,16,6.0,20,3.2188758248682006,6.856483037004562,2,3,2,3,2.4000000000000004
3192,20230954,24,1387.5,0.7083333333333334,9,8,7,-1.0000000000000016,20,3.2188758248682006,7.235979306746854,2,2,2,1,1.9
3193,20230024,24,757.03,0.875,3,12,9,2.9999999999999996,20,3.2188758248682006,6.630722962695601,2,2,2,2,1.9999999999999998
3194,20233162,24,1215.94,0.8333333333333334,10,7,7,-1.500000000000002,20,3.2188758248682006,7.104094790210949,2,2,2,2,1.9999999999999998
3195,20236774,24,1114.08,0.875,12,6,6,-3.0000000000000013,20,3.2188758248682006,7.0166814301993155,2,2,2,2,1.9999999999999998
