,custnumber,allorder,allmount,sper,fiveorder,sixorder,sevenorder,slope,order_qu,order_log,mount_log,order_minmax,order_cluster
74,20240060,182,7364.7,0.7967032967032966,31,76,75,21.999999999999996,180,5.209486152841421,8.904589368507954,0.7884016083680454,2
75,20235809,181,6786.74,0.8176795580110497,31,66,84,26.5,180,5.204006687076795,8.822873322733095,0.7874450770606429,2
76,20240617,181,6771.2,0.9502762430939227,11,84,86,37.5,180,5.204006687076795,8.820581276189635,0.7874450770606429,2
77,20230068,181,7877.67,0.8342541436464088,51,65,65,6.999999999999993,180,5.204006687076795,8.971914386880798,0.7874450770606429,2
78,20231914,181,5020.74,0.8674033149171271,48,57,76,13.999999999999995,180,5.204006687076795,8.521531766174993,0.7874450770606429,2
79,20232690,179,6003.53,0.8938547486033519,29,66,84,27.49999999999999,175,5.19295685089021,8.700269463341067,0.7855161455355352,2
80,20231151,178,8623.88,0.7640449438202247,49,73,56,3.4999999999999964,175,5.187385805840755,9.062406328759295,0.7845436275504507,2
81,20231891,177,7729.11,0.9378531073446328,50,71,56,2.9999999999999907,175,5.181783550292085,8.952878371751886,0.7835656612569178,2
82,20231874,175,5908.1,0.8971428571428571,44,69,62,8.999999999999993,175,5.170483995038151,8.684248814539758,0.7815931371415402,2
83,20236603,173,7540.69,0.9132947976878613,32,61,80,24.0,170,5.159055299214529,8.928201573817883,0.7795980694054395,2
84,20234125,173,6918.66,0.9190751445086706,63,59,51,-6.000000000000016,170,5.159055299214529,8.842121914456676,0.7795980694054395,2
85,20230570,172,7934.96,0.7848837209302325,13,72,87,37.00000000000001,170,5.153291594497779,8.979159608629425,0.7785919194913757,2
86,20237094,171,5580.18,0.9064327485380117,24,62,85,30.499999999999996,170,5.147494476813453,8.627155502552876,0.777579936791611,2
87,20235282,170,6018.16,0.8705882352941177,22,68,80,29.0,170,5.14166355650266,8.702702993683248,0.7765620532847465,2
88,20236074,169,7070.6,0.9408284023668639,29,62,78,24.49999999999999,165,5.135798437050262,8.863842041631868,0.7755381997525114,2
89,20237229,168,7452.53,0.8988095238095238,37,47,84,23.499999999999996,165,5.1298987149230735,8.916443024657104,0.7745083057515192,2
